epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1083.71,1.10752,0.99281,1.13523,0.76018,0.59655,0.69345,0.45758,1.14738,0.96406,1.14244,0.00333288,0.00333288,0.00333288
2,2003.01,1.25424,1.18916,1.22636,0.74641,0.59292,0.6838,0.44462,1.17964,0.98404,1.17782,0.00633624,0.00633624,0.00633624
3,2899.52,1.34403,1.32271,1.28668,0.74087,0.57883,0.66684,0.43214,1.19891,1.02358,1.20012,0.00900959,0.00900959,0.00900959
4,3799.43,1.33892,1.3134,1.28875,0.75426,0.58486,0.68007,0.44678,1.16411,0.99094,1.176,0.008515,0.008515,0.008515
5,4694.28,1.27466,1.21793,1.24941,0.76642,0.601,0.69656,0.46374,1.12982,0.94568,1.15466,0.00802,0.00802,0.00802
6,5585.57,1.2392,1.16294,1.22597,0.76835,0.61308,0.70551,0.47296,1.11152,0.91973,1.14092,0.007525,0.007525,0.007525
7,6488.84,1.21979,1.13017,1.21439,0.78079,0.61186,0.71062,0.47835,1.10173,0.90611,1.13373,0.00703,0.00703,0.00703
8,7383.1,1.19937,1.10292,1.20074,0.77947,0.61687,0.71444,0.48243,1.09522,0.89636,1.12849,0.006535,0.006535,0.006535
9,8281.03,1.1812,1.07669,1.18829,0.78213,0.62123,0.71826,0.48613,1.08976,0.887,1.12362,0.00604,0.00604,0.00604
10,9167.28,1.16841,1.05949,1.17945,0.78659,0.62151,0.72073,0.48884,1.08463,0.87988,1.11958,0.005545,0.005545,0.005545
11,10049.3,1.20119,1.04413,1.21163,0.78607,0.62272,0.72311,0.49133,1.08067,0.87404,1.11723,0.00505,0.00505,0.00505
12,10927.5,1.18623,1.02008,1.20205,0.78992,0.62197,0.72535,0.49345,1.07693,0.86869,1.11488,0.004555,0.004555,0.004555
13,11816.6,1.17099,0.99895,1.19217,0.7926,0.62503,0.72779,0.49617,1.07334,0.86225,1.11229,0.00406,0.00406,0.00406
14,12736,1.15439,0.97484,1.18102,0.79783,0.62671,0.73082,0.49841,1.06975,0.85545,1.10943,0.003565,0.003565,0.003565
15,13616.3,1.13857,0.95404,1.16977,0.79717,0.62834,0.73323,0.50076,1.06592,0.84911,1.10617,0.00307,0.00307,0.00307
16,14492.2,1.11591,0.92584,1.15679,0.79939,0.62785,0.73503,0.50328,1.06083,0.84202,1.10218,0.002575,0.002575,0.002575
17,15370,1.10165,0.90296,1.14609,0.79907,0.63079,0.73758,0.5057,1.05705,0.836,1.09918,0.00208,0.00208,0.00208
18,16250.1,1.08361,0.87556,1.13312,0.80565,0.63088,0.74072,0.50797,1.0525,0.82888,1.09547,0.001585,0.001585,0.001585
19,17133.5,1.06303,0.85288,1.12101,0.80414,0.63515,0.74312,0.5108,1.04837,0.82259,1.0922,0.00109,0.00109,0.00109
20,18023.5,1.04528,0.82788,1.10964,0.80654,0.63858,0.74635,0.51371,1.04475,0.81688,1.08901,0.000595,0.000595,0.000595
