epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.036,1.24231,7.18842,0.00294,0.63806,0.24223,0.24317,0.18872,0.9404,1.4003,0.00249,6.52281e-05,6.52281e-05,6.52281e-05
2,355.243,1.07747,1.80707,0.00247,0.6397,0.47143,0.54013,0.40989,0.90801,0.88091,0.00236,0.000124099,0.000124099,0.000124099
3,519.154,1.0302,1.06409,0.00235,0.71386,0.57849,0.70504,0.55897,0.90147,0.72632,0.00237,0.000176501,0.000176501,0.000176501
4,678.529,0.98947,0.79554,0.00224,0.78044,0.71683,0.84082,0.67411,0.82314,0.62677,0.00213,0.000166894,0.000166894,0.000166894
5,840.263,0.94389,0.65999,0.00212,0.79377,0.82499,0.89658,0.74008,0.78567,0.45765,0.00207,0.000157192,0.000157192,0.000157192
6,1002.22,0.89906,0.56136,0.00202,0.84922,0.79329,0.88276,0.71349,0.78832,0.41403,0.00203,0.00014749,0.00014749,0.00014749
7,1163.22,0.87412,0.49739,0.00194,0.80425,0.86363,0.90859,0.75083,0.7556,0.37238,0.00195,0.000137788,0.000137788,0.000137788
8,1327.2,0.85088,0.45517,0.00185,0.76341,0.91214,0.91844,0.76245,0.71844,0.34433,0.00184,0.000128086,0.000128086,0.000128086
9,1487.91,0.818,0.40487,0.0018,0.85119,0.89892,0.92561,0.76362,0.74218,0.31438,0.00188,0.000118384,0.000118384,0.000118384
10,1650.11,0.80014,0.38188,0.00175,0.88487,0.88174,0.94891,0.80946,0.69672,0.29845,0.00177,0.000108682,0.000108682,0.000108682
11,1815.52,0.74255,0.28258,0.00193,0.91835,0.88171,0.95626,0.80471,0.69103,0.2698,0.00177,9.898e-05,9.898e-05,9.898e-05
12,1974.5,0.71565,0.27227,0.00183,0.89665,0.92747,0.9608,0.80898,0.68378,0.25699,0.00173,8.9278e-05,8.9278e-05,8.9278e-05
13,2135.49,0.69191,0.24629,0.00178,0.91059,0.90138,0.9545,0.81937,0.67748,0.25614,0.00171,7.9576e-05,7.9576e-05,7.9576e-05
14,2299.39,0.67397,0.24257,0.0017,0.89801,0.92987,0.95521,0.8149,0.65616,0.24514,0.00165,6.9874e-05,6.9874e-05,6.9874e-05
15,2462.7,0.66029,0.22741,0.00167,0.92162,0.90918,0.96065,0.82003,0.66117,0.23959,0.00167,6.0172e-05,6.0172e-05,6.0172e-05
16,2630.5,0.64164,0.21931,0.00162,0.93104,0.90162,0.95942,0.82039,0.6576,0.24077,0.00164,5.047e-05,5.047e-05,5.047e-05
17,2794.49,0.63082,0.21212,0.00158,0.93835,0.90087,0.95979,0.82926,0.6414,0.22959,0.0016,4.0768e-05,4.0768e-05,4.0768e-05
18,2955.6,0.61735,0.20733,0.00155,0.92517,0.93982,0.96651,0.83563,0.63672,0.22766,0.00159,3.1066e-05,3.1066e-05,3.1066e-05
19,3117.39,0.60535,0.20076,0.00149,0.92438,0.93509,0.96622,0.83635,0.63895,0.22703,0.00159,2.1364e-05,2.1364e-05,2.1364e-05
20,3279.12,0.59271,0.19816,0.00145,0.91524,0.9379,0.96591,0.83471,0.63863,0.22546,0.00159,1.1662e-05,1.1662e-05,1.1662e-05
