epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.844,1.46238,1.83832,0.00446,0.61659,0.46064,0.52047,0.31719,1.31306,1.02552,0.00763,0.000276926,0.000276926,0.000276926
2,233.923,1.40549,1.07138,0.00433,0.63553,0.53861,0.58705,0.35459,1.33943,0.97401,0.00795,0.000527141,0.000527141,0.000527141
3,341.734,1.39166,0.98684,0.00425,0.63373,0.59107,0.62934,0.38547,1.27108,1.02289,0.0076,0.000749866,0.000749866,0.000749866
4,450.463,1.35052,0.93833,0.00416,0.72322,0.57116,0.65949,0.40849,1.25859,0.83294,0.0074,0.000709299,0.000709299,0.000709299
5,556.086,1.29859,0.87653,0.00391,0.72375,0.63856,0.71393,0.44963,1.19667,0.80232,0.00699,0.000668066,0.000668066,0.000668066
6,661.251,1.25675,0.81847,0.00377,0.77055,0.67846,0.76412,0.50121,1.13899,0.72862,0.00651,0.000626832,0.000626832,0.000626832
7,768.588,1.22767,0.78993,0.00365,0.77787,0.70029,0.77774,0.52453,1.10035,0.69736,0.0063,0.000585599,0.000585599,0.000585599
8,878.258,1.19482,0.74959,0.0035,0.79855,0.72706,0.80003,0.54913,1.09006,0.66561,0.00629,0.000544365,0.000544365,0.000544365
9,987.949,1.15937,0.70864,0.00338,0.80654,0.73573,0.81456,0.5643,1.06258,0.64112,0.00602,0.000503132,0.000503132,0.000503132
10,1096.68,1.12645,0.67854,0.0033,0.80212,0.77764,0.83436,0.5794,1.04642,0.6286,0.00589,0.000461898,0.000461898,0.000461898
11,1208.9,1.09009,0.63252,0.0034,0.76971,0.76997,0.83269,0.56495,1.07157,0.61558,0.00614,0.000420665,0.000420665,0.000420665
12,1316.1,1.06199,0.59805,0.00327,0.81322,0.76003,0.8359,0.58428,1.02132,0.62235,0.00572,0.000379431,0.000379431,0.000379431
13,1426,1.03267,0.57689,0.00315,0.83929,0.76124,0.85044,0.60403,0.98924,0.57232,0.00558,0.000338198,0.000338198,0.000338198
14,1537.01,1.00235,0.54705,0.00302,0.8555,0.75171,0.85832,0.62023,0.97598,0.55515,0.00547,0.000296964,0.000296964,0.000296964
15,1646.92,0.97236,0.52034,0.0029,0.84049,0.78324,0.86311,0.63146,0.95171,0.55372,0.00525,0.000255731,0.000255731,0.000255731
16,1762.06,0.93927,0.5015,0.00278,0.85376,0.78833,0.87204,0.6383,0.93441,0.52423,0.0052,0.000214497,0.000214497,0.000214497
17,1894.53,0.90989,0.47925,0.00265,0.87733,0.79004,0.87637,0.65219,0.92146,0.51029,0.0051,0.000173264,0.000173264,0.000173264
18,2005.7,0.88674,0.46271,0.00257,0.86247,0.80035,0.88066,0.65808,0.90304,0.50572,0.00493,0.000132031,0.000132031,0.000132031
19,2118.12,0.87031,0.44876,0.00249,0.85104,0.80537,0.88034,0.66407,0.89288,0.50315,0.00488,9.0797e-05,9.0797e-05,9.0797e-05
20,2226.12,0.85244,0.44489,0.00242,0.87998,0.77921,0.88187,0.66762,0.88402,0.49517,0.0048,4.95635e-05,4.95635e-05,4.95635e-05
