epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2609,2.83412,3.50689,2.522,0.00253,0.31544,0.0063,0.00167,3.41888,3.97104,3.48743,0.000647059,0.000647059,0.000647059
2,18.7474,1.96057,2.43212,1.79339,0.67324,0.06923,0.15453,0.08575,2.28983,3.38605,2.24547,0.00128121,0.00128121,0.00128121
3,23.1768,1.76549,2.06726,1.60175,0.47065,0.38788,0.37689,0.20513,1.94445,2.27513,1.79367,0.00188236,0.00188236,0.00188236
4,28.0418,1.62547,1.83363,1.51736,0.5398,0.59043,0.51238,0.27666,1.51524,1.82427,1.47177,0.0018515,0.0018515,0.0018515
5,32.5222,1.58926,1.73639,1.47633,0.70871,0.55705,0.63341,0.37237,1.4236,1.68799,1.37207,0.001802,0.001802,0.001802
6,37.8242,1.55104,1.64873,1.45491,0.64888,0.5906,0.59762,0.34703,1.42418,1.61463,1.36621,0.0017525,0.0017525,0.0017525
7,42.1167,1.49614,1.54756,1.42221,0.60591,0.65772,0.65188,0.38126,1.38855,1.43293,1.34825,0.001703,0.001703,0.001703
8,48.1423,1.43096,1.43626,1.36813,0.71945,0.61962,0.67015,0.39866,1.41139,1.32856,1.35683,0.0016535,0.0016535,0.0016535
9,52.8038,1.41722,1.35438,1.34805,0.71835,0.58389,0.66344,0.401,1.3778,1.45627,1.32023,0.001604,0.001604,0.001604
10,57.4446,1.398,1.3426,1.35028,0.74439,0.64499,0.71305,0.44988,1.34186,1.25347,1.29556,0.0015545,0.0015545,0.0015545
11,61.7251,1.36696,1.30445,1.3184,0.64175,0.67785,0.66945,0.39491,1.33542,1.3058,1.28413,0.001505,0.001505,0.001505
12,66.0821,1.37964,1.29638,1.33922,0.66315,0.6443,0.7064,0.43086,1.33474,1.18394,1.29978,0.0014555,0.0014555,0.0014555
13,70.7384,1.35731,1.23498,1.30945,0.75275,0.57047,0.70204,0.44789,1.34093,1.19078,1.3084,0.001406,0.001406,0.001406
14,75.1583,1.35515,1.23693,1.29472,0.72189,0.60975,0.6773,0.39725,1.30684,1.25054,1.24962,0.0013565,0.0013565,0.0013565
15,79.6681,1.31365,1.16944,1.27374,0.67299,0.67785,0.73544,0.44975,1.29616,1.15326,1.27791,0.001307,0.001307,0.001307
16,85.6919,1.29924,1.15068,1.27704,0.69277,0.67114,0.73366,0.44911,1.34721,1.18484,1.29885,0.0012575,0.0012575,0.0012575
17,89.9361,1.27836,1.10613,1.25192,0.65085,0.67114,0.70392,0.43046,1.30175,1.21232,1.27966,0.001208,0.001208,0.001208
18,94.0889,1.2507,1.10546,1.2434,0.75643,0.63758,0.74518,0.45744,1.31223,1.10651,1.29311,0.0011585,0.0011585,0.0011585
19,98.5576,1.27069,1.12097,1.25399,0.7647,0.5889,0.73607,0.45585,1.26112,1.16901,1.28501,0.001109,0.001109,0.001109
20,102.647,1.23095,1.05405,1.22462,0.68479,0.67114,0.73295,0.47144,1.26306,1.0962,1.27235,0.0010595,0.0010595,0.0010595
21,106.841,1.23633,1.05753,1.22219,0.68592,0.69128,0.7186,0.44813,1.27457,1.11871,1.27887,0.00101,0.00101,0.00101
22,111.187,1.20707,1.04634,1.21098,0.75936,0.6777,0.74872,0.49165,1.24577,1.07331,1.24532,0.0009605,0.0009605,0.0009605
23,117.333,1.19561,1.03231,1.20935,0.77967,0.65772,0.77877,0.51476,1.19015,1.03142,1.20502,0.000911,0.000911,0.000911
24,121.797,1.20408,1.01803,1.21068,0.7485,0.69799,0.75713,0.50533,1.18509,1.01896,1.23329,0.0008615,0.0008615,0.0008615
25,126.061,1.18641,1.00015,1.19565,0.73014,0.7047,0.75496,0.48286,1.23346,1.0455,1.26115,0.000812,0.000812,0.000812
26,130.193,1.17047,0.97301,1.18551,0.78605,0.67785,0.75433,0.49107,1.25548,1.0405,1.24223,0.0007625,0.0007625,0.0007625
27,134.357,1.18928,0.96188,1.19469,0.74378,0.69799,0.76415,0.50667,1.20318,1.01739,1.21887,0.000713,0.000713,0.000713
28,138.975,1.13702,0.93389,1.16436,0.75265,0.71141,0.77908,0.51595,1.17535,0.99348,1.20511,0.0006635,0.0006635,0.0006635
29,143.692,1.13857,0.93989,1.18094,0.71884,0.70351,0.7668,0.48791,1.22793,0.99602,1.22767,0.000614,0.000614,0.000614
30,149.711,1.15439,0.95023,1.18616,0.76081,0.73154,0.76768,0.50712,1.18436,0.99685,1.19629,0.0005645,0.0005645,0.0005645
31,155.799,1.06702,0.88869,1.1227,0.80346,0.63105,0.77212,0.49779,1.2365,1.04214,1.24873,0.000515,0.000515,0.000515
32,160.111,1.05151,0.83597,1.11529,0.78093,0.72483,0.7806,0.50659,1.1849,0.97742,1.21513,0.0004655,0.0004655,0.0004655
33,164.374,1.03676,0.83196,1.10112,0.74128,0.74996,0.78372,0.51671,1.18968,0.96769,1.20993,0.000416,0.000416,0.000416
34,168.947,1.0246,0.80862,1.09639,0.83674,0.65101,0.78407,0.5222,1.21171,0.94445,1.20475,0.0003665,0.0003665,0.0003665
35,173.407,0.98824,0.78458,1.0677,0.77567,0.73826,0.78836,0.4949,1.23928,0.96755,1.23617,0.000317,0.000317,0.000317
36,177.862,1.01154,0.78525,1.0892,0.77531,0.67114,0.76681,0.50575,1.20069,0.9905,1.207,0.0002675,0.0002675,0.0002675
37,183.957,0.97528,0.73847,1.06518,0.75199,0.73826,0.78858,0.51333,1.21938,0.94105,1.23061,0.000218,0.000218,0.000218
38,188.356,0.98501,0.75122,1.06718,0.76318,0.7047,0.79699,0.53107,1.15791,0.90919,1.17755,0.0001685,0.0001685,0.0001685
39,192.736,0.99894,0.75715,1.07487,0.73188,0.73279,0.7912,0.54405,1.14017,0.91072,1.16019,0.000119,0.000119,0.000119
40,197.216,0.96796,0.74141,1.0574,0.74486,0.74497,0.7896,0.52788,1.16908,0.92829,1.18354,6.95e-05,6.95e-05,6.95e-05
